,Status,ZipCode,City,Price,Days_on_market,Beds,Baths,Sqft,Date,Acres,Lot_sqft,Liv_index
28,S,98001,Auburn,651038,9.0,4.0,2.25,2472,2021-05-27,0.103,4500.0,68.0
29,S,98001,Auburn,660000,5.0,4.0,2.75,2671,2021-04-30,0.141,6132.0,68.0
30,S,98001,Auburn,680000,4.0,4.0,2.5,2796,2021-04-30,0.132,5750.0,68.0
31,S,98001,Auburn,742000,5.0,4.0,2.5,3090,2021-05-05,0.221,9647.0,68.0
32,S,98001,Auburn,780000,5.0,4.0,2.75,2750,2021-05-04,0.178,7758.0,68.0
33,S,98001,Auburn,795000,6.0,4.0,2.5,3262,2021-05-05,0.244,10614.0,68.0
34,S,98001,Auburn,807000,1.0,4.0,2.75,2650,2021-05-23,0.208,9050.0,68.0
35,S,98001,Federal Way,650000,5.0,5.0,3.0,2336,2021-05-13,0.189,8214.0,63.0
36,S,98001,Auburn,805000,5.0,5.0,2.75,3108,2021-05-27,0.152,6624.0,68.0
38,A,98001,Auburn,782940,8.0,4.0,3.0,3024,2021-05-22,0.121,5250.0,68.0
39,A,98001,Auburn,1150000,10.0,4.0,3.5,2832,2021-05-20,0.223,9710.0,68.0
40,S,98001,Auburn,700000,8.0,4.0,3.25,2527,2021-05-25,0.138,6030.0,68.0
41,S,98001,Auburn,739172,0.0,4.0,3.25,3024,2021-05-18,0.135,5895.0,68.0
42,A,98001,Auburn,1000000,11.0,5.0,4.0,3109,2021-05-19,0.681,29674.0,68.0
43,A,98001,Auburn,975000,2.0,4.0,4.0,4620,2021-05-28,0.85,37026.0,68.0
44,S,98001,Auburn,650949,0.0,5.0,4.25,3024,2021-05-11,0.118,5130.0,68.0
45,A,98001,Auburn,2450000,40.0,6.0,5.0,8900,2021-04-20,6.09,265280.0,68.0
46,A,98001,Federal Way,499000,4.0,3.0,2.5,1580,2021-05-26,0.108,4716.0,63.0
47,S,98001,Algona,280000,12.0,2.0,0.75,820,2021-04-30,0.344,15000.0,68.0
48,S,98001,Algona,400000,3.0,3.0,1.0,1010,2021-05-11,0.367,16000.0,68.0
49,S,98001,Algona,440000,5.0,2.0,2.0,1430,2021-05-11,0.23,10000.0,68.0
50,A,98001,Auburn,424950,3.0,3.0,2.0,1620,2021-05-27,0.147,6401.0,68.0
51,S,98001,Algona,360000,8.0,3.0,2.0,1632,2021-05-07,0.138,6030.0,68.0
52,S,98001,Algona,374000,5.0,3.0,2.0,1120,2021-05-29,0.184,8000.0,68.0
53,S,98001,Algona,501290,5.0,3.0,2.0,1466,2021-05-02,0.297,12956.0,68.0
54,S,98001,Auburn,537000,4.0,3.0,2.0,1410,2021-05-17,0.177,7700.0,68.0
55,S,98001,Auburn,475000,5.0,4.0,1.75,1450,2021-05-28,0.166,7245.0,68.0
56,S,98001,Auburn,496000,3.0,4.0,1.5,1250,2021-05-24,0.171,7455.0,68.0
57,S,98001,Algona,520000,5.0,3.0,2.5,1670,2021-05-20,0.237,10330.0,68.0
58,A,98001,Algona,529950,7.0,4.0,3.0,1965,2021-05-28,0.103,4500.0,68.0
59,S,98002,Auburn,520000,223.0,0.0,0.0,2020,2021-05-20,0.248,10815.0,68.0
60,S,98002,Auburn,300000,3.0,2.0,1.0,620,2021-05-21,0.11,4807.0,68.0
61,S,98002,Auburn,375000,6.0,2.0,1.0,1020,2021-05-24,0.202,8791.0,68.0
62,S,98002,Auburn,375000,5.0,2.0,1.0,900,2021-04-30,0.116,5041.0,68.0
63,S,98002,Auburn,420000,6.0,2.0,1.0,1320,2021-05-17,0.13,5679.0,68.0
64,S,98002,Auburn,425000,9.0,3.0,1.0,900,2021-04-30,0.142,6172.0,68.0
65,A,98002,Auburn,325000,8.0,4.0,1.0,1420,2021-05-22,0.139,6039.0,68.0
66,A,98002,Auburn,365000,4.0,4.0,1.0,1880,2021-05-26,0.151,6589.0,68.0
67,S,98002,Auburn,430000,14.0,3.0,2.0,1400,2021-05-05,0.56,24378.0,68.0
68,A,98002,Auburn,495000,54.0,2.0,2.0,2424,2021-04-06,0.173,7546.0,68.0
69,A,98002,Auburn,399950,10.0,3.0,2.0,850,2021-05-20,0.039,1679.0,68.0
70,A,98002,Auburn,474500,2.0,3.0,2.0,1430,2021-05-28,0.152,6607.0,68.0
71,S,98002,Auburn,390000,6.0,3.0,2.0,1456,2021-05-08,0.18,7828.0,68.0
72,S,98002,Auburn,410000,6.0,3.0,1.5,1280,2021-05-28,0.084,3640.0,68.0
73,S,98002,Auburn,440000,5.0,3.0,2.0,1188,2021-05-05,0.16,6984.0,68.0
75,S,98002,Auburn,485000,3.0,3.0,1.75,1430,2021-04-30,0.695,30273.0,68.0
76,S,98002,Auburn,500000,6.0,3.0,1.5,2160,2021-05-17,0.22,9583.0,68.0
77,S,98002,Auburn,510000,5.0,3.0,1.75,1110,2021-05-21,0.138,6000.0,68.0
78,A,98002,Auburn,497000,9.0,4.0,2.0,2332,2021-05-21,0.196,8550.0,68.0
79,S,98002,Auburn,450000,4.0,4.0,2.0,1812,2021-05-10,0.163,7080.0,68.0
80,S,98002,Auburn,450000,12.0,4.0,1.75,1350,2021-05-07,0.194,8459.0,68.0
81,S,98002,Auburn,470000,5.0,4.0,2.0,1470,2021-05-03,0.203,8853.0,68.0
82,S,98002,Auburn,493000,4.0,4.0,2.0,1952,2021-05-25,0.289,12600.0,68.0
83,S,98002,Auburn,552500,6.0,4.0,1.75,2290,2021-05-17,0.132,5750.0,68.0
