#,MLS,Stat,Type,Address,ZipCode,City,City Code,State,List/Sell,Days on Market,Bds,Bths,SF,Start Date,Acres,Source,Lot Square Footage,Property Type,SchoolDistric,Livability Index,#,,,,Town,Livability Index
261,1749960,S,RESI,1559 S Dawson St,98108,Seattle,385,WA,"921,990",6,4,2,2090,05/06/2021  ,0.115,Realist,5001,Single Family,Seattle,0,1872,,,,,
261,1756052,S,RESI,1915 S Orcas St,98108,Seattle,385,WA,"777,000",0,5,1.75,1980,05/13/2021  ,0.117,Realist,5100,Single Family,Seattle,0,1873,,,,,
261,1758754,S,RESI,5910 18th Ave S,98108,Seattle,385,WA,"950,000",4,5,2,2870,05/19/2021  ,0.154,King County Records,6720,Single Family,Seattle,0,1874,,,,,
261,1744278,S,RESI,6736 B Carleton Ave S,98108,Seattle,385,WA,"625,000",26,2,2.25,1390,05/11/2021  ,0.023,KCR,1006,Single Family,Seattle,0,1875,,,,,
261,1767455,A,RESI,2702 S Andover St,98108,Seattle,385,WA,"614,000",95,3,2.5,1376,05/08/2021  ,0.017,Tax records,741,Single Family,Seattle,0,1876,,,,,
261,1776844,A,RESI,2712 S Andover St,98108,Seattle,385,WA,"625,000",10,3,2.5,1520,05/20/2021  ,0.017,Realist- Buyer to Verify,742,Single Family,Seattle,0,1877,,,,,
261,1766834,A,RESI,4952 12th Ave S,98108,Seattle,385,WA,"700,000",26,3,2,1190,05/04/2021  ,0.086,Realist,3750,Single Family,Seattle,0,1878,,,,,
261,1782335,A,RESI,4355 Jill Place S,98108,Seattle,385,WA,"750,000",2,3,2.25,1690,05/28/2021  ,0.034,Co records,1468,Single Family,Seattle,0,1879,,,,,
261,1750139,S,RESI,6616 Carleton Ave S #B,98108,Seattle,385,WA,"650,000",14,3,2.5,1360,05/17/2021  ,0.019,Realist,840,Single Family,Seattle,0,1880,,,,,
261,1746122,S,RESI,708 S Orcas St,98108,Seattle,385,WA,"685,000",2,3,2.75,1600,04/30/2021  ,0.03,Realist- Buyer to Verify,1309,Single Family,Seattle,0,1881,,,,,
262,1749395,S,RESI,4256 163rd Ave SE,98006,Bellevue,530,WA,"950,000",4,3,2.25,1870,05/05/2021  ,0.241,Realist,10500,Single Family,Issaquah,83,1882,,,,,
262,1763746,S,RESI,4351 Jill Place S,98108,Seattle,385,WA,"791,000",7,3,2.25,1690,05/27/2021  ,0.034,Tax records,1465,Single Family,Seattle,0,1883,,,,,
262,1743008,S,RESI,4133 Cheasty Blvd S,98108,Seattle,385,WA,"916,810",4,3,2.5,2140,05/06/2021  ,0.147,Realist,6415,Single Family,Seattle,0,1884,,,,,
262,1779360,A,RESI,2610 S Ferdinand St,98108,Seattle,385,WA,"1,195,000",5,4,2.75,2240,05/25/2021  ,0.131,Realist,5728,Single Family,Seattle,0,1885,,,,,
262,1754618,S,RESI,5208 29th Ave S,98108,Seattle,385,WA,"1,470,000",6,4,2.75,2960,05/19/2021  ,0.257,KCR,11205,Single Family,Seattle,0,1886,,,,,
262,1778481,A,RESI,3044 S Austin St,98108,Seattle,385,WA,"698,900",183,5,2.5,2145,05/22/2021  ,0.157,KCR,6820,Single Family,Seattle,0,1887,,,,,
262,1753204,A,RESI,4911 15th Ave S,98108,Seattle,385,WA,"849,999",114,5,2.75,4670,04/09/2021  ,0.129,Realist,5600,Single Family,Seattle,0,1888,,,,,
262,1764122,S,RESI,4432 11th Ave S,98108,Seattle,385,WA,"1,020,000",7,5,2.75,2810,05/30/2021  ,0.132,Public Records,5760,Single Family,Seattle,0,1889,,,,,
262,1754216,S,RESI,2627 S Ferdinand St,98108,Seattle,385,WA,"1,215,880",5,5,2.75,3350,05/19/2021  ,0.218,Public Records,9500,Single Family,Seattle,0,1890,,,,,
262,1763718,S,RESI,5338 16th Ave S,98108,Seattle,385,WA,"650,000",7,3,3,1760,05/26/2021  ,0.031,Realist- Buyer to Verify,1346,Single Family,Seattle,0,1891,,,,,
262,1764123,A,RESI,5540 15th Ave S #B,98108,Seattle,385,WA,"698,888",33,5,3.25,1950,04/27/2021  ,0.043,Realist,1886,Single Family,Seattle,0,1892,,,,,
263,1758267,S,RESI,1639 153 Ave SE,98007,Bellevue,530,WA,"1,050,000",4,3,1.75,1170,05/18/2021  ,0.269,Realist,11735,Single Family,Bellevue,83,1893,,,,,
263,1782739,A,RESI,8348 NW 28th Ave NW,98108,Seattle,705,WA,"589,950",4,2,2.25,1215,05/29/2021  ,0.028,County,1215,Single Family,Seattle,0,1894,,,,,
263,1783064,A,RESI,1818 Westlake Ave N,98109,Seattle,700,WA,"139,000",1,1,0.75,500,05/29/2021  ,0.014,Seller,600,Single Family,Seattle,0,1895,,,,,
263,1780971,A,RESI,1900 Westlake Ave N #B-8,98109,Seattle,700,WA,"650,000",4,1,1,616,05/26/2021  ,0.014,Seller,616,Single Family,Seattle,0,1896,,,,,
263,1746030,A,RESI,2040 Westlake Ave N #2,98109,Seattle,700,WA,"674,000",52,1,0.75,720,04/08/2021  ,0.012,Seller,544,Single Family,Seattle,0,1897,,,,,
263,1780903,A,RESI,2023 2nd Ave N,98109,Seattle,700,WA,"789,000",4,2,1,1410,05/26/2021  ,0.048,KCR,2100,Single Family,Seattle,0,1898,,,,,
263,1779319,A,RESI,2764 Westlake Ave N #F,98109,Seattle,700,WA,"799,000",8,2,1,945,05/22/2021  ,0,Appraiser,1,Single Family,Seattle,0,1899,,,,,
263,1752795,S,RESI,254 Newell St,98109,Seattle,700,WA,"953,000",6,2,1,1600,05/04/2021  ,0.07,Realist,3055,Single Family,Seattle,0,1900,,,,,
263,1747252,S,RESI,2404 Warren Ave N,98109,Seattle,700,WA,"985,000",14,3,1,2260,05/04/2021  ,0.08,Realist,3500,Single Family,Seattle,0,1901,,,,,
263,1743877,S,RESI,2566 5th Ave N,98109,Seattle,700,WA,"720,000",17,2,1.75,1130,05/05/2021  ,0.059,KCR,2565,Single Family,Seattle,0,1902,,,,,
263,1769157,A,RESI,617 Aloha St,98109,Seattle,700,WA,"785,000",24,1,1.5,1540,05/06/2021  ,0.019,Realist,840,Single Family,Seattle,0,1903,,,,,
264,1767081,A,RESI,15444 SE 8th St,98007,Bellevue,530,WA,"1,100,000",24,4,2,2120,05/06/2021  ,0.193,Realist,8400,Single Family,Bellevue,83,1904,,,,,
264,1641415,S,RESI,700 McGraw St,98109,Seattle,700,WA,"685,000",128,2,1.75,1023,05/05/2021  ,0.017,King County,752,Single Family,Seattle,0,1905,,,,,
264,1743776,S,RESI,2404 F Dexter Ave N,98109,Seattle,700,WA,"740,000",18,2,1.75,1153,05/03/2021  ,0.018,King County,803,Single Family,Seattle,0,1906,,,,,
264,1736906,S,RESI,2408 B Dexter Ave N,98109,Seattle,700,WA,"785,000",12,2,1.75,1152,05/07/2021  ,0.016,King County,685,Single Family,Seattle,0,1907,,,,,
264,1744499,S,RESI,305 Valley St,98109,Seattle,700,WA,"990,000",3,2,1.75,1280,05/07/2021  ,0.018,title report,769,Single Family,Seattle,0,1908,,,,,
264,1757258,S,RESI,535 Howe St,98109,Seattle,700,WA,"1,021,000",7,2,2,1386,05/06/2021  ,0.016,Realist,716,Single Family,Seattle,0,1909,,,,,
264,1739319,S,RESI,1612 5th Ave N,98109,Seattle,700,WA,"1,405,000",7,2,1.5,2360,05/07/2021  ,0.137,KCR,5950,Single Family,Seattle,0,1910,,,,,
264,1755013,A,RESI,1405 6th Ave N,98109,Seattle,700,WA,"1,045,000",16,3,1.75,1585,05/15/2021  ,0.018,King County,805,Single Family,Seattle,0,1911,,,,,
264,1773969,A,RESI,514 Lee St,98109,Seattle,700,WA,"1,049,000",9,3,2,1450,05/21/2021  ,0.023,ULS,1000,Single Family,Seattle,0,1912,,,,,
264,1771675,A,RESI,153 Newell St,98109,Seattle,700,WA,"1,545,000",19,3,1.75,2560,05/11/2021  ,0.148,KCR,6441,Single Family,Seattle,0,1913,,,,,
264,1757909,S,RESI,1401 6th Ave N,98109,Seattle,700,WA,"979,000",0,3,1.75,1346,05/27/2021  ,0.024,King County,1029,Single Family,Seattle,0,1914,,,,,
265,1758535,S,RESI,1050 149th Place SE,98007,Bellevue,530,WA,"980,000",5,4,2,1520,05/27/2021  ,0.188,KCR,8185,Single Family,Bellevue,83,1915,,,,,
265,1753756,A,RESI,421 Smith St,98109,Seattle,700,WA,"1,600,000",37,4,1.5,3340,05/03/2021  ,0.121,Realist,5250,Single Family,Seattle,0,1916,,,,,
265,1741474,S,RESI,1919 Dexter Ave N,98109,Seattle,700,WA,"1,030,000",19,4,2.75,2630,05/26/2021  ,0.08,Realist,3480,Single Family,Seattle,0,1917,,,,,
265,1753432,A,RESI,508 Newton St,98109,Seattle,700,WA,"1,669,000",53,2,2.25,2780,04/07/2021  ,0.068,KCR,2950,Single Family,Seattle,0,1918,,,,,
265,1781651,A,RESI,716 Nob Hill Ave N #A,98109,Seattle,700,WA,"935,000",3,3,2.25,1403,05/27/2021  ,0.028,Tax,1238,Single Family,Seattle,0,1919,,,,,
265,1763576,A,RESI,2112 Nob Hill Ave N #B,98109,Seattle,700,WA,"945,000",23,3,2.5,1656,05/07/2021  ,0.029,Realist,1263,Single Family,Seattle,0,1920,,,,,
265,1715408,A,RESI,1518 D 5th Ave N,98109,Seattle,700,WA,"1,749,900",114,3,2.5,2131,05/04/2021  ,0.15,DPD,6540,Single Family,Seattle,0,1921,,,,,
265,1768083,A,RESI,508 Prospect St #B,98109,Seattle,700,WA,"1,895,000",25,3,2.5,2121,05/05/2021  ,0.039,Public Records,1712,Single Family,Seattle,0,1922,,,,,
265,1751186,S,RESI,506 Prospect St,98109,Seattle,700,WA,"1,900,000",15,3,2.5,2121,05/12/2021  ,0.03,KCR,1292,Single Family,Seattle,0,1923,,,,,
265,1754497,S,RESI,1822 3rd Ave N,98109,Seattle,700,WA,"1,550,000",0,4,2.5,2820,05/21/2021  ,0.081,KCR,3520,Single Family,Seattle,0,1924,,,,,
265,1746212,S,RESI,1015 3rd Ave N,98109,Seattle,700,WA,"1,850,000",1,4,2.5,2920,05/01/2021  ,0.094,KCR,4080,Single Family,Seattle,0,1925,,,,,
266,1764707,S,RESI,1814 152nd Ave SE,98007,Bellevue,530,WA,"1,150,000",5,4,2,1830,05/15/2021  ,0.231,KCR,10083,Single Family,Bellevue,83,1926,,,,,
266,1753295,S,RESI,2612 1st Ave N,98109,Seattle,700,WA,"1,935,000",21,4,2.25,3120,05/28/2021  ,0.096,KCR,4200,Single Family,Seattle,0,1927,,,,,
266,1754218,A,RESI,1512 5th Ave N,98109,Seattle,700,WA,"1,699,900",53,3,3,1838,04/07/2021  ,0.023,King County,1008,Single Family,Seattle,0,1928,,,,,
266,1781028,A,RESI,1000 5th Ave N,98109,Seattle,700,WA,"1,950,000",4,3,3.25,2254,05/26/2021  ,0.034,KCR,1471,Single Family,Seattle,0,1929,,,,,
266,1763294,A,RESI,104 Highland Dr,98109,Seattle,700,WA,"2,950,000",24,3,3,3380,05/06/2021  ,0.161,realist,7000,Single Family,Seattle,0,1930,,,,,
266,1758645,S,RESI,307 Lee St,98109,Seattle,700,WA,"2,200,000",5,3,3.25,2326,05/06/2021  ,0.047,Builder,2066,Single Family,Seattle,0,1931,,,,,
266,1778327,A,RESI,2001 5th Ave N,98109,Seattle,700,WA,"1,799,999",10,4,3.25,3530,05/20/2021  ,0.103,realist,4500,Single Family,Seattle,0,1932,,,,,
266,1718685,A,RESI,404 Comstock Place,98109,Seattle,700,WA,"2,375,000",131,4,3.5,3486,01/19/2021  ,0.056,Realist,2458,Single Family,Seattle,0,1933,,,,,
266,1604760,A,RESI,300 Ward St,98109,Seattle,700,WA,"6,995,000",334,4,3.25,7425,11/30/2020  ,0.18,KCR,7844,Single Family,Seattle,0,1934,,,,,
266,1762443,S,RESI,1116 Taylor Ave N,98109,Seattle,700,WA,"1,195,370",11,4,4,2400,05/25/2021  ,0.081,KCR,3520,Single Family,Seattle,0,1935,,,,,
266,1731672,S,RESI,310 Lynn St,98109,Seattle,700,WA,"1,265,000",39,4,3.25,2346,05/18/2021  ,0.092,PBR,4000,Single Family,Seattle,0,1936,,,,,
267,1754794,S,RESI,1615 151st Ave SE,98007,Bellevue,530,WA,"1,208,500",6,4,1.75,1490,05/07/2021  ,0.24,Realist,10446,Single Family,Bellevue,83,1937,,,,,
267,1749304,S,RESI,2623 Warren Ave N,98109,Seattle,700,WA,"2,160,000",7,4,3.5,3932,05/12/2021  ,0.076,Public Records,3331,Single Family,Seattle,0,1938,,,,,
267,1760466,S,RESI,2527 3rd Ave N,98109,Seattle,700,WA,"2,312,000",7,5,3.5,3660,05/29/2021  ,0.254,KCR,11058,Single Family,Seattle,0,1939,,,,,
267,1752551,S,RESI,1606 4th Ave N,98109,Seattle,700,WA,"3,250,000",1,5,3.25,4160,05/24/2021  ,0.133,Survey,5773,Single Family,Seattle,0,1940,,,,,
267,1760444,S,RESI,206 Hayes St,98109,Seattle,700,WA,"1,800,000",3,4,4,2510,05/27/2021  ,0.063,Tax Rec,2760,Single Family,Seattle,0,1941,,,,,
267,1740402,S,RESI,410 Prospect St,98109,Seattle,700,WA,"3,225,000",161,4,3.75,3500,05/24/2021  ,0.083,Realist,3600,Single Family,Seattle,0,1942,,,,,
267,1776534,A,RESI,2022 Taylor Ave N,98109,Seattle,700,WA,"2,500,000",70,5,5,4700,05/18/2021  ,0.132,Realist,5760,Single Family,Seattle,0,1943,,,,,
267,1691483,A,RESI,1214 Warren Ave N,98109,Seattle,700,WA,"8,700,000",256,5,7.25,9970,11/19/2020  ,0.197,Appraiser,8600,Single Family,Seattle,0,1944,,,,,
267,1767860,A,RESI,2614 E John St,98112,Seattle,390,WA,"575,000",24,1,1,760,05/06/2021  ,0.026,Realist,1120,Single Family,Seattle,0,1945,,,,,
267,1753749,S,RESI,1139 19th Ave E,98112,Seattle,390,WA,"1,100,000",7,3,1,2270,05/20/2021  ,0.11,Realist,4800,Single Family,Seattle,0,1946,,,,,
267,1760153,S,RESI,441 27th Ave E,98112,Seattle,390,WA,"1,230,000",5,3,1.75,1920,05/20/2021  ,0.134,Tax records,5833,Single Family,Seattle,0,1947,,,,,
268,1765967,A,RESI,14702 NE 51st St #A2,98007,Bellevue,530,WA,"824,000",33,3,2.25,2231,04/29/2021  ,4.315,Public Records,187977,Single Family,Lake Washin,83,1948,,,,,
268,1762427,A,RESI,2600 E Denny Wy,98112,Seattle,390,WA,"639,950",36,2,1.75,929,04/24/2021  ,0.012,King County,527,Single Family,Seattle,0,1949,,,,,
268,1775851,A,RESI,109 D 22nd Ave E,98112,Seattle,390,WA,"669,950",13,2,1.75,1014,05/17/2021  ,0.014,King County,610,Single Family,Seattle,0,1950,,,,,
268,1717277,S,RESI,319 Malden Ave E #B,98112,Seattle,390,WA,"669,000",103,2,1.75,1120,05/11/2021  ,0.013,KCR,548,Single Family,Seattle,0,1951,,,,,
268,1746965,S,RESI,109 B 22nd Ave E,98112,Seattle,390,WA,"699,950",20,2,1.75,1001,05/14/2021  ,0.015,King County,650,Single Family,Seattle,0,1952,,,,,
268,1731552,S,RESI,201 23rd Ave E #C,98112,Seattle,390,WA,"750,000",61,2,1.75,1089,05/25/2021  ,0.015,Shortplatt,663,Single Family,Seattle,0,1953,,,,,
268,1750038,S,RESI,105 26th Ave E,98112,Seattle,390,WA,"783,000",5,2,1.5,1295,05/25/2021  ,0.025,KCR,1093,Single Family,Seattle,0,1954,,,,,
268,1743075,S,RESI,2540 E Madison St,98112,Seattle,390,WA,"1,060,050",7,2,2,1552,05/03/2021  ,0.054,Appraisal,2333,Single Family,Seattle,0,1955,,,,,
268,1736651,S,RESI,2027 42nd Ave E,98112,Seattle,390,WA,"1,250,000",22,2,1.75,1350,05/14/2021  ,0.073,KCR,3188,Single Family,Seattle,0,1956,,,,,
268,1780029,A,RESI,215 24th AVE E #A,98112,Seattle,390,WA,"799,000",5,3,1.75,1280,05/26/2021  ,0.028,KCR,1207,Single Family,Seattle,0,1957,,,,,
268,1771588,A,RESI,1806 24th Ave E,98112,Seattle,390,WA,"880,000",18,3,1.5,1880,05/12/2021  ,0.103,Public Records,4500,Single Family,Seattle,0,1958,,,,,
269,1756642,S,RESI,391 145th Place SE,98007,Bellevue,530,WA,"940,000",4,3,2.5,1840,05/19/2021  ,0.083,Realist- Buyer to Verify,3610,Single Family,Bellevue,83,1959,,,,,
269,1711374,A,RESI,129 30th Ave E,98112,Seattle,390,WA,"975,000",154,3,1.5,1720,05/25/2021  ,0.138,Realist,6000,Single Family,Seattle,0,1960,,,,,
269,1761128,S,RESI,321 26th Ave E,98112,Seattle,390,WA,"1,050,000",7,3,1.75,1740,05/25/2021  ,0.08,Realist,3500,Single Family,Seattle,0,1961,,,,,
269,1764176,S,RESI,428 Malden Ave E,98112,Seattle,390,WA,"1,100,000",4,3,2,1490,05/13/2021  ,0.028,Public Records,1212,Single Family,Seattle,0,1962,,,,,
269,1763436,S,RESI,2560 24th Ave E,98112,Seattle,390,WA,"1,112,500",5,3,2,1880,05/28/2021  ,0.065,Realist,2825,Single Family,Seattle,0,1963,,,,,
269,1759700,S,RESI,1862 E Hamlin St,98112,Seattle,390,WA,"1,425,000",9,3,2,2811,05/28/2021  ,0.125,KCR,5450,Single Family,Seattle,0,1964,,,,,
269,1755574,S,RESI,1122 16th Ave E,98112,Seattle,390,WA,"1,647,500",7,3,1.75,2310,04/30/2021  ,0.11,KCR,4800,Single Family,Seattle,0,1965,,,,,
269,1777219,A,RESI,2307 McGilvra Blvd E,98112,Seattle,390,WA,"1,400,000",9,4,2,1580,05/21/2021  ,0.092,King Coutty,4000,Single Family,Seattle,0,1966,,,,,
269,1758298,S,RESI,1210 17th Ave E,98112,Seattle,390,WA,"1,521,000",8,4,1.75,2033,05/27/2021  ,0.11,Floor Plans,4800,Single Family,Seattle,0,1967,,,,,
269,1777885,A,RESI,2215 E McGraw St,98112,Seattle,390,WA,"1,350,000",10,5,1.75,3060,05/20/2021  ,0.103,KCR,4500,Single Family,Seattle,0,1968,,,,,
269,1750360,S,RESI,1824 24th Ave E,98112,Seattle,390,WA,"1,400,000",21,5,1.5,3970,05/25/2021  ,0.116,Public Records,5055,Single Family,Seattle,0,1969,,,,,
270,1755931,S,RESI,15043 NE 8th Place,98007,Bellevue,530,WA,"1,175,000",7,3,2.5,1530,05/14/2021  ,0.059,King County,2576,Single Family,Bellevue,83,1970,,,,,
270,1717429,A,RESI,2238 E Crescent Dr,98112,Seattle,390,WA,"1,437,000",135,5,2.5,2670,01/15/2021  ,0.121,King County,5268,Single Family,Seattle,0,1971,,,,,
270,1757853,A,RESI,152 21st Ave E #A,98112,Seattle,390,WA,"689,900",40,2,2.25,947,04/20/2021  ,0.016,Realist,700,Single Family,Seattle,0,1972,,,,,
270,1765963,A,RESI,202 24th Ave E #6,98112,Seattle,390,WA,"699,000",68,2,2.5,1311,04/29/2021  ,0.03,KCAS,1311,Single Family,Seattle,0,1973,,,,,
270,1733489,S,RESI,1825 E Roy St,98112,Seattle,390,WA,"889,000",35,2,2.5,1500,05/05/2021  ,0.034,Appraisal,1500,Single Family,Seattle,0,1974,,,,,
270,1750168,S,RESI,1839 McGilvra Blvd E,98112,Seattle,390,WA,"1,805,000",5,2,2.5,2430,05/18/2021  ,0.092,KCR,4000,Single Family,Seattle,0,1975,,,,,
270,1766593,S,RESI,2128 Broadmoor Dr E,98112,Seattle,390,WA,"3,500,000",1,2,2.25,2447,05/24/2021  ,0.164,KCR,7139,Single Family,Seattle,0,1976,,,,,
270,1781477,A,RESI,132 26th Ave E #B,98112,Seattle,390,WA,"1,175,000",3,3,2.25,1572,05/27/2021  ,0.024,Public Records,1026,Single Family,Seattle,0,1977,,,,,
270,1771259,A,RESI,605 Malden Ave E #A,98112,Seattle,390,WA,"1,290,000",79,3,3,2192,05/10/2021  ,0.022,Public Records,967,Single Family,Seattle,0,1978,,,,,
270,1741200,A,RESI,1111 37th Ave E,98112,Seattle,390,WA,"2,795,000",80,3,2.5,2910,03/11/2021  ,0.165,Realist,7200,Single Family,Seattle,0,1979,,,,,
270,1749880,S,RESI,123 21st Ave E #A,98112,Seattle,390,WA,"850,000",5,3,2.5,1290,05/07/2021  ,0.031,Realist,1362,Single Family,Seattle,0,1980,,,,,
271,1758633,S,RESI,118 153rd Place SE,98007,Bellevue,530,WA,"1,120,000",2,4,2.5,2350,05/19/2021  ,0.177,Realist,7700,Single Family,Bellevue,83,1981,,,,,
271,1751019,S,RESI,2033 Boyer Ave E,98112,Seattle,390,WA,"1,275,000",41,3,2.25,2350,05/12/2021  ,0.083,KCR,3600,Single Family,Seattle,0,1982,,,,,
271,1750555,S,RESI,1548 15th Ave E,98112,Seattle,390,WA,"1,330,000",6,3,2.25,1780,05/07/2021  ,0.032,Title Co.,1388,Single Family,Seattle,0,1983,,,,,
271,1732082,S,RESI,4119 E Newton St,98112,Seattle,390,WA,"1,335,000",74,3,2.25,1860,05/28/2021  ,0.032,KCR,1386,Single Family,Seattle,0,1984,,,,,
271,1760362,S,RESI,607 26th Ave E,98112,Seattle,390,WA,"1,750,000",5,3,2.25,2240,05/14/2021  ,0.115,KCR,5000,Single Family,Seattle,0,1985,,,,,
271,1724534,S,RESI,3223 E Mercer St,98112,Seattle,390,WA,"1,752,500",76,3,2.25,3140,05/24/2021  ,0.138,Public Records,6000,Single Family,Seattle,0,1986,,,,,
271,1769810,A,RESI,2233 E Miller St,98112,Seattle,390,WA,"1,390,000",24,4,2.5,2860,05/06/2021  ,0.096,Realist,4200,Single Family,Seattle,0,1987,,,,,
271,1768768,A,RESI,2018 Boyer Ave E,98112,Seattle,390,WA,"1,475,000",19,4,3,2680,05/11/2021  ,0.075,KCR,3257,Single Family,Seattle,0,1988,,,,,
271,1757656,A,RESI,1932 15th Ave E,98112,Seattle,390,WA,"1,980,000",45,4,2.25,3850,04/15/2021  ,0.161,King County,7020,Single Family,Seattle,0,1989,,,,,
271,1757723,A,RESI,497 McGilvra Blvd E,98112,Seattle,390,WA,"2,295,000",39,4,2.5,3980,04/21/2021  ,0.187,King County,8154,Single Family,Seattle,0,1990,,,,,
271,1753139,S,RESI,1513 Interlaken Place E,98112,Seattle,390,WA,"1,650,000",5,4,2.5,2240,05/14/2021  ,0.076,Public Records,3331,Single Family,Seattle,0,1991,,,,,
272,1754635,S,RESI,664 154th Ave NE,98007,Bellevue,530,WA,"1,225,000",3,4,2.75,2008,05/25/2021  ,0.227,KCR,9900,Single Family,Bellevue,83,1992,,,,,
272,1744758,S,RESI,2453 22nd Ave E,98112,Seattle,390,WA,"1,810,000",7,4,2.75,3340,04/30/2021  ,0.138,Tax Records,6000,Single Family,Seattle,0,1993,,,,,
272,1753338,S,RESI,745 18th Ave E,98112,Seattle,390,WA,"2,075,000",6,4,2.25,3130,05/16/2021  ,0.132,Realist,5760,Single Family,Seattle,0,1994,,,,,
272,1757108,S,RESI,926 21st Ave E,98112,Seattle,390,WA,"2,400,000",7,4,2.25,3138,05/24/2021  ,0.149,KCR,6480,Single Family,Seattle,0,1995,,,,,
272,1764819,S,RESI,2201 39th Ave E,98112,Seattle,390,WA,"2,405,000",4,4,2.5,3808,05/27/2021  ,0.22,KCR,9585,Single Family,Seattle,0,1996,,,,,
272,1697641,A,RESI,913 23rd Ave E,98112,Seattle,390,WA,"1,400,000",227,5,2.5,3130,12/11/2020  ,0.124,realist,5400,Single Family,Seattle,0,1997,,,,,
272,1751942,S,RESI,1865 41st Ave E,98112,Seattle,390,WA,"1,495,000",6,5,2.75,2360,05/27/2021  ,0.092,Realist,4000,Single Family,Seattle,0,1998,,,,,
272,1755735,S,RESI,1524 E Interlaken Blvd,98112,Seattle,390,WA,"1,935,000",8,5,2.5,3350,05/06/2021  ,0.176,KCAR,7649,Single Family,Seattle,0,1999,,,,,
272,1757786,S,RESI,1524 1507 E Interlaken Blvd,98112,Seattle,390,WA,"2,725,000",7,5,2.5,3350,05/06/2021  ,0.486,KCAR,21152,Single Family,Seattle,0,2000,,,,,
272,1766389,S,RESI,317 A 14th Ave E,98112,Seattle,390,WA,"1,300,000",3,3,3,1656,05/19/2021  ,0.029,MLS,1260,Single Family,Seattle,0,2001,,,,,
272,1765429,S,RESI,1802 Madrona Dr,98112,Seattle,390,WA,"1,750,000",5,3,2.75,2090,05/28/2021  ,0.096,KCR,4190,Single Family,Seattle,0,2002,,,,,
273,1740842,S,RESI,1620 154th Ave SE,98007,Bellevue,530,WA,"1,600,000",5,4,2.5,3100,05/28/2021  ,0.188,King County,8203,Single Family,Bellevue,83,2003,,,,,
273,1760868,S,RESI,570 Lake Washington Blvd E,98112,Seattle,390,WA,"2,000,000",6,3,3.25,3116,05/26/2021  ,0.235,Tax Records,10249,Single Family,Seattle,0,2004,,,,,
273,1746022,S,RESI,1443 Broadmoor Dr E,98112,Seattle,390,WA,"2,625,000",12,3,3.25,4160,05/11/2021  ,0.163,KCR,7080,Single Family,Seattle,0,2005,,,,,
273,1767958,S,RESI,1233 Shenandoah Dr E,98112,Seattle,390,WA,"3,500,000",2,3,3.5,4360,05/21/2021  ,0.187,KCR,8125,Single Family,Seattle,0,2006,,,,,
273,1781598,A,RESI,709 15th Ave E,98112,Seattle,390,WA,"2,175,000",3,4,3.25,4580,05/27/2021  ,0.122,Realist,5300,Single Family,Seattle,0,2007,,,,,
273,1781120,A,RESI,1108 17th Ave E,98112,Seattle,390,WA,"2,600,000",4,4,3.25,4190,05/26/2021  ,0.165,KCR,7200,Single Family,Seattle,0,2008,,,,,
273,1773072,A,RESI,1615 39th Ave E,98112,Seattle,390,WA,"2,995,000",15,4,3,4000,05/15/2021  ,0.165,KCR,7200,Single Family,Seattle,0,2009,,,,,
273,1756111,A,RESI,1121 38th Avenue E,98112,Seattle,390,WA,"3,298,000",48,4,3,3770,04/12/2021  ,0.165,KCR,7200,Single Family,Seattle,0,2010,,,,,
273,1740150,S,RESI,2244 40th Ave E,98112,Seattle,390,WA,"1,700,000",30,4,3,2610,05/19/2021  ,0.149,County Records,6500,Single Family,Seattle,0,2011,,,,,
273,1748490,S,RESI,1418 E Ward St,98112,Seattle,390,WA,"2,150,000",6,4,3.25,2540,05/17/2021  ,0.119,Realist,5170,Single Family,Seattle,0,2012,,,,,
273,1755726,S,RESI,2143 E Shelby St,98112,Seattle,390,WA,"2,250,000",4,4,3.25,3520,05/15/2021  ,0.125,County Records,5450,Single Family,Seattle,0,2013,,,,,
274,1757644,S,RESI,671 152nd Ave NE,98007,Bellevue,530,WA,"1,340,000",8,5,2.75,2700,05/21/2021  ,0.201,king,8770,Single Family,Bellevue,83,2014,,,,,
274,1752198,S,RESI,3821 E Galer St,98112,Seattle,390,WA,"2,895,000",2,4,3.25,3430,05/04/2021  ,0.193,KCR,8400,Single Family,Seattle,0,2015,,,,,
274,1720267,S,RESI,1010 36th Ave E,98112,Seattle,390,WA,"3,100,000",79,4,3.5,4350,05/17/2021  ,0.138,Realist/KCR,6000,Single Family,Seattle,0,2016,,,,,
274,1771011,A,RESI,317 33rd Ave E,98112,Seattle,390,WA,"2,500,000",15,5,3.25,3600,05/15/2021  ,0.143,Public,6240,Single Family,Seattle,0,2017,,,,,
274,1763947,A,RESI,735 17th Ave E,98112,Seattle,390,WA,"2,995,000",17,5,3.25,4659,05/13/2021  ,0.132,Assessor,5760,Single Family,Seattle,0,2018,,,,,
274,1746674,S,RESI,1206 16th Ave E,98112,Seattle,390,WA,"1,325,000",5,5,3.5,3200,04/30/2021  ,0.11,Realist,4800,Single Family,Seattle,0,2019,,,,,
274,1745961,S,RESI,1852 McGilvra Blvd E,98112,Seattle,390,WA,"3,300,000",5,5,3.5,4090,04/30/2021  ,0.138,tax records,6000,Single Family,Seattle,0,2020,,,,,
