#,MLS,Stat,Type,Address,ZipCode,City,City Code,State,List/Sell,Days on Market,Bds,Bths,SF,Start Date,Acres,Source,Lot Square Footage,Property Type,SchoolDistric,Livability Index,#,,,,Town,Livability Index
80,1753384,S,RESI,428 V Place SE,98002,Auburn,310,WA,"450,000",4,4,2,1812,05/10/2021  ,0.163,Realist,7080,Single Family,Auburn,0,80,,,,,
81,1745563,S,RESI,640 27th St SE,98002,Auburn,310,WA,"450,000",12,4,1.75,1350,05/07/2021  ,0.194,Public Records,8459,Single Family,Auburn,0,81,,,,,
82,1746342,S,RESI,3338 R St SE,98002,Auburn,310,WA,"470,000",5,4,2,1470,05/03/2021  ,0.203,Public Records,8853,Single Family,Auburn,0,82,,,,,
83,1757488,S,RESI,2401 17th St SE,98002,Auburn,310,WA,"493,000",4,4,2,1952,05/25/2021  ,0.289,Realist,12600,Single Family,Auburn,0,83,,,,,
84,1754512,S,RESI,311 G St SE,98002,Auburn,310,WA,"552,500",6,4,1.75,2290,05/17/2021  ,0.132,Realist,5750,Single Family,Auburn,0,84,,,,,
85,1781714,A,RESI,3423 Olympic St SE,98002,Auburn,310,WA,"475,000",3,3,2.5,1500,05/27/2021  ,0.223,Realist,9696,Single Family,Auburn,0,85,,,,,
86,1745402,S,RESI,2209 28th Ct SE,98002,Auburn,310,WA,"565,000",6,3,2.5,2120,04/30/2021  ,0.119,Public Records,5173,Single Family,Auburn,0,86,,,,,
87,1769310,S,RESI,1218 32nd St NE,98002,Auburn,310,WA,"580,000",4,4,2.75,2117,05/21/2021  ,0.085,Realist,3703,Single Family,Auburn,0,87,,,,,
88,1749139,S,RESI,2525 Forest Ridge Dr SE,98002,Auburn,310,WA,"690,000",1,5,2.75,3510,05/28/2021  ,0.215,Realist,9360,Single Family,Auburn,0,88,,,,,
89,1781771,A,RESI,416 Riverview Dr NE,98002,Auburn,310,WA,"649,900",3,3,3.25,2280,05/27/2021  ,0.328,Public Records,14291,Single Family,Auburn,0,89,,,,,
90,1748092,S,RESI,36129 24th Place S,98003,Federal Way,100,WA,"416,000",4,3,1.5,940,04/30/2021  ,0.181,Public Records,7884,Single Family,Federal Way,0,90,,,,,
91,1754154,S,RESI,35764 26th Ave S,98003,Federal Way,100,WA,"507,000",6,3,1.5,1090,05/21/2021  ,0.335,Public Records,14608,Single Family,Federal Way,0,91,,,,,
92,1755289,S,RESI,28134 29th Ave S,98003,Federal Way,100,WA,"550,000",4,3,2,1300,05/19/2021  ,0.218,Tax records,9475,Single Family,Federal Way,0,92,,,,,
93,1734291,A,RESI,1312 S 372nd Street,98003,Federal Way,100,WA,"780,000",65,5,1.75,1910,03/26/2021  ,2.12,Realist,92347,Single Family,Federal Way,0,93,,,,,
94,1781495,A,RESI,35757 27th Ave S,98003,Federal Way,100,WA,"569,000",4,3,2.75,2360,05/26/2021  ,0.254,Tax Records,11058,Single Family,Federal Way,0,94,,,,,
95,1762742,S,RESI,2431 S 354th St,98003,Federal Way,100,WA,"450,000",0,3,2.5,1670,05/27/2021  ,0.138,Realist,6031,Single Family,Federal Way,0,95,,,,,
96,1747962,S,RESI,2622 S 376th Place,98003,Federal Way,100,WA,"455,000",6,3,2.5,1740,05/01/2021  ,0.182,Realist,7920,Single Family,Federal Way,0,96,,,,,
97,1753552,S,RESI,37820 31st Ave S,98003,Federal Way,100,WA,"650,000",2,4,2.5,2370,05/13/2021  ,0.095,Realist,4120,Single Family,Fife,0,97,,,,,
98,1766078,A,RESI,29868 18th Ave S,98003,Federal Way,110,WA,"656,000",22,0,0,1480,05/08/2021  ,0.66,Public Records,28749,Single Family,Tacoma,0,98,,,,,
99,1779806,A,RESI,1645 S 288th St #101,98003,Federal Way,110,WA,"195,000",6,0,0.5,1000,05/24/2021  ,0.023,nwmls,1000,Single Family,Federal Way,0,99,,,,,
100,1757212,A,RESI,31228 28th Ave S,98003,Federal Way,110,WA,"1,200,000",47,2,1,1150,04/13/2021  ,0.947,KCR,41233,Single Family,Federal Way,0,100,,,,,
100,1770487,A,RESI,11411 115th Ave NE,98033,Kirkland,560,WA,"2,087,000",23,5,3.5,3348,05/07/2021  ,0.093,KCR,4070,Single Family,Lake Washin,81,101,,,,,
100,1659619,S,RESI,801 8th St S,98033,Kirkland,560,WA,"1,500,000",198,5,3.5,4745,05/24/2021  ,0.19,Assessor,8283,Single Family,Lake Washin,81,102,,,,,
100,1750034,S,RESI,12017 NE 66th St,98033,Kirkland,560,WA,"1,750,000",6,5,3.5,3160,05/03/2021  ,0.215,Realist - Buyer to Verify,9351,Single Family,Lake Washin,81,103,,,,,
100,1540159,S,RESI,4508 Lot 11 119th Dr NE,98033,Kirkland,560,WA,"2,269,252",0,5,4,4865,05/20/2021  ,0.302,Builder plans,13159,Single Family,Lake Washin,81,104,,,,,
100,1722345,S,RESI,1415 6th St,98033,Kirkland,560,WA,"2,464,500",2,5,3.5,3397,05/27/2021  ,0.172,KCR,7479,Single Family,Lake Washin,81,105,,,,,
100,1774172,A,RESI,626 13th Ave W,98033,Kirkland,560,WA,"3,988,000",53,4,4,4820,05/13/2021  ,0.248,Realist,10800,Single Family,Lake Washin,81,106,,,,,
100,1780721,A,RESI,11828 NE 41st Lane,98033,Kirkland,560,WA,"4,900,000",2,4,4,7160,05/28/2021  ,0.933,Public Records,40650,Single Family,Lake Washin,81,107,,,,,
100,1712774,A,RESI,6427 Lake Washington Blvd NE,98033,Kirkland,560,WA,"6,495,000",219,4,3.75,4480,01/05/2021  ,0.469,Realist,20424,Single Family,Lake Washin,81,108,,,,,
100,1749712,S,RESI,10129 NE 63rd St,98033,Kirkland,560,WA,"2,700,000",15,4,4.25,3693,05/17/2021  ,0.092,Realist- Buyer to Verify,4001,Single Family,Lake Washin,81,109,,,,,
100,1740152,S,RESI,5609 125th Lane NE,98033,Kirkland,560,WA,"3,120,000",4,4,4,4480,05/03/2021  ,0.598,Realist,26028,Single Family,Lake Washin,81,110,,,,,
101,1634940,S,RESI,3033 S 349th St,98003,Federal Way,110,WA,"285,000",156,2,1,924,04/30/2021  ,0.316,13750,13750,Single Family,Federal Way,0,111,,,,,
101,1743879,S,RESI,501 10th Ave W,98033,Kirkland,560,WA,"4,980,000",7,4,4.25,5650,05/14/2021  ,0.275,Realist,12000,Single Family,Lake Washin,81,112,,,,,
101,1722433,S,RESI,10103 NE 66th Lane,98033,Kirkland,560,WA,"5,225,000",26,4,4,4670,05/05/2021  ,0.084,King County,3639,Single Family,Lake Washin,81,113,,,,,
101,1783066,A,RESI,1205 Kirkland Ave,98033,Kirkland,560,WA,"2,750,000",0,5,4,4039,05/30/2021  ,0.618,Tax Roles,26914,Single Family,Lake Washin,81,114,,,,,
101,1775175,A,RESI,338 7th Ave W,98033,Kirkland,560,WA,"3,900,000",11,5,4.25,4020,05/19/2021  ,0.131,Realist,5725,Single Family,Lake Washin,81,115,,,,,
101,1776879,A,RESI,1205 Kirkland Ave,98033,Kirkland,560,WA,"3,985,000",11,5,4,4039,05/19/2021  ,0.915,Tax Roles,39849,Single Family,Lake Washin,81,116,,,,,
101,1743166,S,RESI,13408 NE 104th St,98033,Redmond,560,WA,"2,185,000",22,5,4.5,3099,05/26/2021  ,0.148,Plans,6463,Single Family,Lake Washin,85,117,,,,,
101,1757872,S,RESI,10815 101st Place NE,98033,Kirkland,560,WA,"2,360,000",5,5,4.25,4800,05/12/2021  ,0.405,Tax Records,17621,Single Family,Lake Washin,81,118,,,,,
101,1754558,S,RESI,7415 119th Ave NE,98033,Kirkland,560,WA,"2,420,000",6,5,4.25,3414,05/30/2021  ,0.189,Building plans,8225,Single Family,Lake Washin,81,119,,,,,
101,1506926,S,RESI,4534 117th (homesite 27) Dr NE,98033,Kirkland,560,WA,"2,491,566",69,5,4.5,4428,05/13/2021  ,0.489,Builder plans,21316,Single Family,Lake Washin,81,120,,,,,
101,1753076,S,RESI,7918 127th Place NE,98033,Kirkland,560,WA,"2,920,000",4,5,4.5,4216,05/27/2021  ,0.202,Tax Records,8793,Single Family,Lake Washin,81,121,,,,,
102,1754170,S,RESI,306 S 373rd St,98003,Federal Way,110,WA,"399,999",11,2,1,1280,05/24/2021  ,0.195,Realist,8499,Single Family,Federal Way,0,122,,,,,
102,1748511,S,RESI,603 9th Ave,98033,Kirkland,560,WA,"2,950,000",2,5,4.5,4719,05/04/2021  ,0.248,Realist,10800,Single Family,Lake Washin,81,123,,,,,
102,1746823,S,RESI,8819 116th Ave NE,98033,Kirkland,560,WA,"3,200,000",2,5,4.25,4820,04/30/2021  ,0.275,Realist,12000,Single Family,Lake Washin,81,124,,,,,
102,1750183,S,RESI,658 17th Ave W,98033,Kirkland,560,WA,"3,325,000",0,5,4,4950,04/30/2021  ,0.206,King County Records,8975,Single Family,Lake Washin,81,125,,,,,
102,1737175,S,RESI,5780 105th Ave NE,98033,Kirkland,560,WA,"6,000,000",14,5,4,5123,05/28/2021  ,0.386,KCR,16834,Single Family,Lake Washin,81,126,,,,,
102,1761795,A,RESI,5015 112th Ave NE,98033,Kirkland,560,WA,"3,880,000",39,6,4.25,5961,04/21/2021  ,0.341,King County Records,14836,Single Family,Lake Washin,81,127,,,,,
102,1736317,A,RESI,11303 NE 60th St,98033,Kirkland,560,WA,"3,900,000",85,4,5,5260,05/12/2021  ,0.309,Realist,13461,Single Family,Lake Washin,81,128,,,,,
102,1775825,A,RESI,666 17th Ave W,98033,Kirkland,560,WA,"4,898,000",10,5,5.5,5260,05/20/2021  ,0.35,Public Records,15246,Single Family,Lake Washin,81,129,,,,,
102,1768126,A,RESI,11251 126th Ave NE,98033,Kirkland,600,WA,"1,299,950",25,2,1.5,1100,05/06/2021  ,0.337,Realist,14696,Single Family,Lake Washin,81,130,,,,,
102,1750147,S,RESI,11235 115th Place NE,98033,Kirkland,600,WA,"900,000",3,3,1.75,1790,05/14/2021  ,0.23,Realist,10000,Single Family,Lake Washin,81,131,,,,,
102,1782750,A,RESI,9807 NE NE 128th St,98034,Kirkland,560,WA,"925,000",2,4,1.75,1340,05/28/2021  ,0.164,Realist,7135,Single Family,Lake Washin,81,132,,,,,
103,1782767,A,RESI,28130 29th Ave S,98003,Federal Way,110,WA,"457,000",2,3,1.75,1380,05/30/2021  ,0.22,King County,9600,Single Family,Auburn,0,133,,,,,
103,1759911,S,RESI,10645 NE 116th St,98034,Kirkland,560,WA,"1,010,000",6,3,2.75,2100,05/26/2021  ,0.266,King County Records,11575,Single Family,Lake Washin,81,134,,,,,
103,1739612,S,RESI,10414 NE 116th St,98034,Kirkland,560,WA,"1,530,000",6,4,2.5,3260,05/13/2021  ,0.166,Realist,7213,Single Family,Lake Washin,81,135,,,,,
103,1755217,S,RESI,14453 89th Place NE,98034,Kirkland,560,WA,"937,500",10,5,2.75,2080,05/03/2021  ,0.195,Realist,8493,Single Family,Lake Washin,81,136,,,,,
103,1782813,A,RESI,9100 NE 128th Lane,98034,Kirkland,560,WA,"2,980,000",2,5,3.5,4090,05/28/2021  ,6.68,Tax Records,290980,Single Family,Lake Washin,81,137,,,,,
103,1737703,S,RESI,9015 NE Juanita Lane,98034,Kirkland,560,WA,"5,400,000",25,4,3.75,4630,05/21/2021  ,0.22,King County Records,9583,Single Family,Lake Washin,81,138,,,,,
103,1774321,A,RESI,8487 NE Woodland Cove Dr,98034,Kirkland,560,WA,"4,988,000",10,4,5.5,8905,05/20/2021  ,0.285,Realist,12395,Single Family,Lake Washin,81,139,,,,,
103,1756213,S,RESI,13308 NE 137th Place,98034,Kirkland,600,WA,"500,000",5,2,1,970,05/18/2021  ,0.091,KCR,3965,Single Family,Lake Washin,81,140,,,,,
103,1760186,S,RESI,7717 NE 142nd Place,98034,Kirkland,600,WA,"770,000",5,3,1,1000,05/20/2021  ,0.177,KCR,7700,Single Family,Lake Washin,81,141,,,,,
103,1752898,S,RESI,13044 110th Ave NE,98034,Kirkland,600,WA,"815,000",6,3,1,910,05/11/2021  ,0.222,Public Records,9675,Single Family,Lake Washin,81,142,,,,,
103,1762596,S,RESI,13331 NE 137th Place,98034,Kirkland,600,WA,"629,000",4,2,2,1140,05/18/2021  ,0.075,Realist,3255,Single Family,Lake Washin,81,143,,,,,
104,1773278,A,RESI,36314 25th Ave S,98003,Federal Way,110,WA,"500,000",11,3,1.75,1510,05/19/2021  ,0.19,Realist,8276,Single Family,Federal Way,0,144,,,,,
104,1774329,A,RESI,13444 110th Place NE,98034,Kirkland,600,WA,"765,000",4,3,1.75,1630,05/26/2021  ,0.166,County records,7238,Single Family,Lake Washin,81,145,,,,,
104,1749569,S,RESI,11101 NE 141st St,98034,Kirkland,600,WA,"713,100",4,3,1.75,1660,05/17/2021  ,0.177,Realist,7700,Single Family,Lake Washin,81,146,,,,,
