,Status,ZipCode,City,Price,Days_on_market,Beds,Baths,Sqft,Date,Acres,Lot_sqft,Liv_index
112,S,98033,Kirkland,5225000,26,4,4,4670,5/5/2021,0.084,3639,81
113,A,98033,Kirkland,2750000,0,5,4,4039,5/30/2021,0.618,26914,81
114,A,98033,Kirkland,3900000,11,5,4.25,4020,5/19/2021,0.131,5725,81
115,A,98033,Kirkland,3985000,11,5,4,4039,5/19/2021,0.915,39849,81
116,S,98033,Redmond,2185000,22,5,4.5,3099,5/26/2021,0.148,6463,85
117,S,98033,Kirkland,2360000,5,5,4.25,4800,5/12/2021,0.405,17621,81
118,S,98033,Kirkland,2420000,6,5,4.25,3414,5/30/2021,0.189,8225,81
119,S,98033,Kirkland,2491566,69,5,4.5,4428,5/13/2021,0.489,21316,81
120,S,98033,Kirkland,2920000,4,5,4.5,4216,5/27/2021,0.202,8793,81
121,S,98003,Federal Way,399999,11,2,1,1280,5/24/2021,0.195,8499,63
122,S,98033,Kirkland,2950000,2,5,4.5,4719,5/4/2021,0.248,10800,81
123,S,98033,Kirkland,3200000,2,5,4.25,4820,4/30/2021,0.275,12000,81
124,S,98033,Kirkland,3325000,0,5,4,4950,4/30/2021,0.206,8975,81
125,S,98033,Kirkland,6000000,14,5,4,5123,5/28/2021,0.386,16834,81
126,A,98033,Kirkland,3880000,39,6,4.25,5961,4/21/2021,0.341,14836,81
127,A,98033,Kirkland,3900000,85,4,5,5260,5/12/2021,0.309,13461,81
128,A,98033,Kirkland,4898000,10,5,5.5,5260,5/20/2021,0.35,15246,81
129,A,98033,Kirkland,1299950,25,2,1.5,1100,5/6/2021,0.337,14696,81
130,S,98033,Kirkland,900000,3,3,1.75,1790,5/14/2021,0.23,10000,81
131,A,98034,Kirkland,925000,2,4,1.75,1340,5/28/2021,0.164,7135,81
132,A,98003,Federal Way,457000,2,3,1.75,1380,5/30/2021,0.22,9600,63
133,S,98034,Kirkland,1010000,6,3,2.75,2100,5/26/2021,0.266,11575,81
134,S,98034,Kirkland,1530000,6,4,2.5,3260,5/13/2021,0.166,7213,81
135,S,98034,Kirkland,937500,10,5,2.75,2080,5/3/2021,0.195,8493,81
136,A,98034,Kirkland,2980000,2,5,3.5,4090,5/28/2021,6.68,290980,81
137,S,98034,Kirkland,5400000,25,4,3.75,4630,5/21/2021,0.22,9583,81
138,A,98034,Kirkland,4988000,10,4,5.5,8905,5/20/2021,0.285,12395,81
139,S,98034,Kirkland,500000,5,2,1,970,5/18/2021,0.091,3965,81
140,S,98034,Kirkland,770000,5,3,1,1000,5/20/2021,0.177,7700,81
141,S,98034,Kirkland,815000,6,3,1,910,5/11/2021,0.222,9675,81
142,S,98034,Kirkland,629000,4,2,2,1140,5/18/2021,0.075,3255,81
143,A,98003,Federal Way,500000,11,3,1.75,1510,5/19/2021,0.19,8276,63
144,A,98034,Kirkland,765000,4,3,1.75,1630,5/26/2021,0.166,7238,81
145,S,98034,Kirkland,713100,4,3,1.75,1660,5/17/2021,0.177,7700,81
146,S,98034,Kirkland,751000,11,3,1.75,1220,5/3/2021,0.228,9916,81
147,S,98034,Kirkland,789000,5,3,1.5,1710,5/3/2021,0.218,9508,81
148,S,98034,Kirkland,820000,3,3,1.75,1280,5/12/2021,0.182,7932,81
149,S,98034,Kirkland,830000,5,3,1.75,1270,5/4/2021,0.224,9750,81
150,S,98034,Kirkland,839000,7,3,1.75,1320,5/21/2021,0.222,9660,81
151,S,98034,Kirkland,840000,6,3,2,1170,5/28/2021,0.168,7325,81
152,S,98034,Kirkland,901000,6,3,1.75,1170,5/3/2021,0.227,9900,81
153,S,98034,Kirkland,970800,5,3,1.75,1636,5/6/2021,0.379,16488,81
154,S,98003,Federal Way,222000,5,3,2,1344,5/12/2021,0.207,9020,63
155,S,98034,Kirkland,1035000,5,3,1.75,1660,5/12/2021,0.172,7500,81
156,S,98034,Kirkland,1100000,4,3,1.75,2260,5/20/2021,0.195,8509,81
157,A,98034,Kirkland,859900,3,4,1.75,2140,5/28/2021,0.244,10644,81
158,S,98034,Kirkland,750000,4,4,1.5,1420,5/9/2021,0.151,6580,81
159,S,98034,Kirkland,775000,5,4,1.75,1700,5/28/2021,0.183,7975,81
160,S,98034,Kirkland,975000,4,4,2,1820,5/7/2021,0.227,9872,81
161,S,98034,Kirkland,1025000,2,4,1.75,1900,5/24/2021,0.235,10226,81
162,S,98034,Kirkland,1100000,2,4,2,1860,4/30/2021,0.186,8100,81
163,S,98034,Kirkland,1015000,6,5,1.75,1940,5/21/2021,0.186,8120,81
164,A,98034,Kirkland,758000,3,3,2.5,1770,5/27/2021,0.031,1369,81
165,S,98003,Federal Way,361888,5,3,2,1344,5/19/2021,0.355,15478,63
166,A,98034,Kirkland,1050000,5,3,2.5,2420,5/25/2021,0.085,3713,81
167,S,98034,Kirkland,915000,4,3,2.5,1418,5/20/2021,0.165,7201,81
168,S,98034,Kirkland,920000,4,3,2.25,1650,5/19/2021,0.148,6460,81
169,S,98034,Kirkland,955000,8,3,2.5,2085,5/18/2021,0.166,7226,81
170,S,98034,Kirkland,990000,2,3,2.25,3170,5/17/2021,0.234,10180,81
171,S,98034,Kirkland,1016000,6,3,2.25,1730,5/7/2021,0.186,8100,81
172,S,98034,Kirkland,1060000,2,3,2.5,1940,5/25/2021,0.2,8706,81
173,S,98034,Kirkland,1255000,6,3,2.25,2180,4/30/2021,0.205,8948,81
174,S,98034,Kirkland,1337500,4,3,2.75,2590,5/8/2021,0.112,4875,81
